r0,welfare_efficiency
95.0,0.8799999999999989
95.0,0.8999999999999991
95.0,0.9199999999999993
95.0,0.9399999999999994
95.0,0.9599999999999996
95.0,0.9799999999999998
95.0,0.0969
95.0,0.7362499999999987
95.0,0.7562499999999989
95.0,0.7762499999999991
95.0,0.7962499999999993
95.0,0.8162499999999995
95.0,0.8362499999999996
95.0,0.8562499999999997
95.0,0.09975953409608666
95.0,0.6374999999999988
95.0,0.6574999999999991
95.0,0.6774999999999993
95.0,0.6974999999999995
95.0,0.7174999999999997
95.0,0.7374999999999998
95.0,0.10377782921992085
95.0,0.5737499999999991
95.0,0.5937499999999993
95.0,0.6137499999999995
95.0,0.6337499999999997
95.0,0.6537499999999997
95.0,0.11021906337393413
95.0,0.5249999999999994
95.0,0.5449999999999995
95.0,0.5649999999999996
95.0,0.5849999999999997
95.0,0.12283565243445098
95.0,0.6274999999999994
95.0,0.6474999999999996
95.0,0.6674999999999998
95.0,0.16109780238092586
95.0,0.5849999999999996
95.0,0.6049999999999998
95.0,0.6909210857592638
95.0,0.5424999999999998
95.0,1.030302757263183
95.0,1.0073000000000008
95.0,0.8599999999999988
95.0,0.8799999999999989
95.0,0.8999999999999991
95.0,0.9199999999999993
95.0,0.9399999999999994
95.0,0.9599999999999996
95.0,0.9799999999999998
95.0,0.09924375
95.0,0.7562499999999989
95.0,0.7762499999999991
95.0,0.7962499999999993
95.0,0.8162499999999995
95.0,0.8362499999999996
95.0,0.8562499999999997
95.0,0.10227826161156801
95.0,0.6574999999999991
95.0,0.6774999999999993
95.0,0.6974999999999995
95.0,0.7174999999999997
95.0,0.7374999999999998
95.0,0.1066138802410935
95.0,0.5937499999999993
95.0,0.6137499999999995
95.0,0.6337499999999997
95.0,0.6537499999999997
95.0,0.11360738794865322
95.0,0.5449999999999995
95.0,0.5649999999999996
95.0,0.5849999999999997
95.0,0.12726818648847343
95.0,0.6474999999999996
95.0,0.6674999999999998
95.0,0.1680089108526063
95.0,0.6049999999999998
95.0,0.6990143924268502
95.0,1.0331750000000002
95.0,0.8799999999999989
95.0,0.8999999999999991
95.0,0.9199999999999993
95.0,0.9399999999999994
95.0,0.9599999999999996
95.0,0.9799999999999998
95.0,0.101275
95.0,0.7762499999999991
95.0,0.7962499999999993
95.0,0.8162499999999995
95.0,0.8362499999999996
95.0,0.8562499999999997
95.0,0.10445724853948521
95.0,0.6774999999999993
95.0,0.6974999999999995
95.0,0.7174999999999997
95.0,0.7374999999999998
95.0,0.10905481172439058
95.0,0.6137499999999995
95.0,0.6337499999999997
