m,g0_cooperative,g0_conditional_cooperator,g0_compensating_cooperator,g0_selfish,g0_sanctioning,g1_cooperative,g1_conditional_cooperator,g1_compensating_cooperator,g1_selfish,g1_sanctioning,outsider_cooperative,outsider_conditional_cooperator,outsider_compensating_cooperator,outsider_selfish,outsider_sanctioning,welfare_efficiency,collapsed
2,1,1,1,0,1,1,3,0,0,0,0,0,2,1,1,0.05937761788049736,True
2,1,0,0,3,0,3,1,0,0,0,0,1,1,0,2,0.042316418110970186,True
2,0,1,2,0,1,0,3,0,1,0,1,1,1,0,1,0.04461938829536713,True
2,2,0,1,1,0,1,0,1,0,2,2,0,1,0,1,0.9273539822048619,False
2,1,0,0,1,2,1,1,1,0,1,2,1,0,0,1,0.9195500545477631,False
2,0,0,2,0,2,1,0,2,0,1,0,1,0,2,1,0.9178104409369104,False
2,2,0,2,0,0,0,2,0,0,2,0,1,1,0,2,0.9193498253650565,False
2,0,1,3,0,0,0,0,0,0,4,0,0,0,1,3,0.8491464644936275,False
2,2,2,0,0,0,1,1,0,2,0,2,1,0,1,0,0.07260615744296264,True
2,1,2,0,0,1,1,2,1,0,0,1,1,2,0,0,0.08704365174637987,True
2,1,1,0,2,0,1,1,1,1,0,2,1,0,1,0,0.07068699837028763,True
2,1,0,1,0,2,0,0,2,0,2,1,2,0,1,0,0.5783660300210574,False
2,0,0,0,4,0,0,1,0,0,3,1,1,1,1,0,0.009243984396379685,True
2,0,1,1,1,1,0,1,3,0,0,2,0,0,0,2,0.9249569876581766,False
2,0,3,0,1,0,1,0,3,0,0,3,0,0,0,1,0.07556987158717407,True
2,2,1,0,1,0,1,1,0,2,0,0,0,1,2,1,0.05334755828869985,True
2,1,1,1,1,0,1,3,0,0,0,0,3,0,0,1,0.056508802441165955,True
2,0,3,0,0,1,2,1,0,0,1,0,0,0,4,0,0.042814116931123636,True
2,1,1,0,1,1,0,0,0,3,1,0,1,0,3,0,0.042950672509035615,True
2,0,3,1,0,0,2,0,1,0,1,0,1,0,3,0,0.056608986805563234,True
2,0,3,0,1,0,0,3,0,0,1,0,1,1,1,1,0.038555800470678595,True
2,0,0,0,1,3,0,0,4,0,0,0,0,2,2,0,0.9120602602844115,False
2,1,1,1,1,0,1,1,2,0,0,0,0,2,1,1,0.0897540338838037,True
2,3,0,0,1,0,0,1,3,0,0,1,3,0,0,0,0.09556987158717403,True
2,0,1,1,2,0,1,3,0,0,0,0,3,0,1,0,0.0684,True
2,1,0,0,3,0,2,2,0,0,0,3,1,0,0,0,0.0745154265619327,True
2,1,1,1,0,1,1,0,1,0,2,1,2,0,1,0,0.13883356893523216,True
2,0,0,2,2,0,0,0,3,1,0,1,0,3,0,0,0.11989855995460699,True
2,0,1,0,3,0,0,4,0,0,0,0,2,0,1,1,0.04926824390000003,True
2,1,1,2,0,0,1,0,1,0,2,0,0,0,0,4,0.8690329455078398,False
2,0,1,1,2,0,2,1,0,1,0,0,0,0,0,4,-0.001883026200510887,True
2,0,0,3,0,1,0,0,1,3,0,1,2,1,0,0,0.06379557519797191,True
2,3,0,1,0,0,1,2,1,0,0,1,0,0,1,2,0.17684716380104892,True
2,2,0,0,0,2,0,1,1,2,0,0,1,2,0,1,0.04458344752606835,True
2,1,1,0,2,0,0,1,2,1,0,0,1,0,2,1,0.052058112828603856,True
2,0,2,0,0,2,2,1,0,1,0,0,1,2,1,0,0.04918962281650915,True
2,2,2,0,0,0,0,0,4,0,0,2,0,0,2,0,0.1129831042098998,True
2,0,2,0,2,0,0,1,2,1,0,0,2,0,0,2,0.030811606124533816,True
2,0,0,1,2,1,0,1,2,1,0,0,1,3,0,0,0.08526078930203453,True
2,0,3,1,0,0,1,2,0,1,0,2,0,0,1,1,0.054852394570974405,True
